"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME","SAMPLING_POINT"
"5962243","17/02/2014 12:11:39 PM","17/02/2014 12:11:39 PM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0018","IRM001A"
"5969942","19/02/2014 11:09:44 AM","19/02/2014 11:09:44 AM","T","IODI010493","Iodine","UG_P_100G","171","1","QC","","T","SRM","SRM","IODI01-14-0019","IRM001A"
"5974700","20/02/2014 02:35:44 PM","20/02/2014 02:35:44 PM","T","IODI010493","Iodine","UG_P_100G","110","1","QC","","T","SRM","SRM","IODI01-14-0020","IRM001A"
"5986355","25/02/2014 09:15:17 AM","25/02/2014 09:15:17 AM","T","IODI010493","Iodine","UG_P_100G","96","1","QC","","T","SRM","SRM","IODI01-14-0021","IRM001A"
"5995371","27/02/2014 12:52:01 PM","27/02/2014 12:52:01 PM","T","IODI010493","Iodine","UG_P_100G","112","1","QC","","T","SRM","SRM","IODI01-14-0022","IRM001A"
"6004016","03/03/2014 08:33:52 AM","03/03/2014 08:33:52 AM","T","IODI010493","Iodine","UG_P_100G","122","1","QC","","T","SRM","SRM","IODI01-14-0023","IRM001A"
"6014554","06/03/2014 08:08:01 AM","06/03/2014 08:08:01 AM","T","IODI010493","Iodine","UG_P_100G","111","1","QC","","T","SRM","SRM","IODI01-14-0024","IRM001A"
"6035543","13/03/2014 01:08:36 PM","13/03/2014 01:08:36 PM","T","IODI010493","Iodine","UG_P_100G","114","1","QC","","T","SRM","SRM","IODI01-14-0026","IRM001A"
"6049411","18/03/2014 01:20:13 PM","18/03/2014 01:20:13 PM","T","IODI010493","Iodine","UG_P_100G","114","1","QC","","T","SRM","SRM","IODI01-14-0027","IRM001A"
"6056368","20/03/2014 10:06:46 AM","20/03/2014 10:06:46 AM","T","IODI010493","Iodine","UG_P_100G","117","1","QC","","T","SRM","SRM","IODI01-14-0028","IRM001A"
"6065016","24/03/2014 07:21:10 AM","24/03/2014 07:21:10 AM","T","IODI010493","Iodine","UG_P_100G","119","1","QC","","T","SRM","SRM","IODI01-14-0029","IRM001A"
"6069045","25/03/2014 10:26:15 AM","25/03/2014 10:26:15 AM","T","IODI010493","Iodine","UG_P_100G","105","1","QC","","T","SRM","SRM","IODI01-14-0030","IRM001A"
"6073353","26/03/2014 11:15:00 AM","26/03/2014 11:15:00 AM","T","IODI010493","Iodine","UG_P_100G","111","1","QC","","T","SRM","SRM","IODI01-14-0031","IRM001A"
"6080808","28/03/2014 10:53:10 AM","28/03/2014 10:53:10 AM","T","IODI010493","Iodine","UG_P_100G","115","1","QC","","T","SRM","SRM","IODI01-14-0032","IRM001A"
"6087271","31/03/2014 01:04:10 PM","31/03/2014 01:04:10 PM","T","IODI010493","Iodine","UG_P_100G","117","1","QC","","T","SRM","SRM","IODI01-14-0033","IRM001A"
"6110569","08/04/2014 11:55:39 AM","08/04/2014 11:55:39 AM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0034","IRM001A"
"6129182","14/04/2014 12:11:13 PM","14/04/2014 12:11:13 PM","T","IODI010493","Iodine","","","1","QC","","T","SRM","SRM","IODI01-14-0035","IRM001A"
"6135024","16/04/2014 08:28:52 AM","16/04/2014 08:28:52 AM","T","IODI010493","Iodine","UG_P_100G","108","1","QC","","T","SRM","SRM","IODI01-14-0036","IRM001A"
"6140293","17/04/2014 10:52:58 AM","17/04/2014 10:52:58 AM","T","IODI010493","Iodine","UG_P_100G","110","1","QC","","T","SRM","SRM","IODI01-14-0037","IRM001A"
"6150143","22/04/2014 03:28:59 PM","22/04/2014 03:28:59 PM","T","IODI010493","Iodine","UG_P_100G","113","1","QC","","T","SRM","SRM","IODI01-14-0038","IRM001A"
"6166437","29/04/2014 10:34:30 AM","29/04/2014 10:34:30 AM","T","IODI010493","Iodine","UG_P_100G","115","1","QC","","T","SRM","SRM","IODI01-14-0040","IRM001A"
"6174007","01/05/2014 09:17:55 AM","01/05/2014 09:17:55 AM","T","IODI010493","Iodine","UG_P_100G","107","1","QC","","T","SRM","SRM","IODI01-14-0041","IRM001A"
"6176281","01/05/2014 03:09:09 PM","01/05/2014 03:09:09 PM","T","IODI010493","Iodine","UG_P_100G","151","1","QC","","T","SRM","SRM","IODI01-14-0039","IRM001A"
"6181200","03/05/2014 07:41:21 AM","03/05/2014 07:41:21 AM","T","IODI010493","Iodine","UG_P_100G","115","1","QC","","T","SRM","SRM","IODI01-14-0042","IRM001A"
"6181471","03/05/2014 09:22:56 AM","03/05/2014 09:22:56 AM","T","IODI010493","Iodine","UG_P_100G","126","1","QC","","T","SRM","SRM","IODI01-14-0043","IRM001A"
"6183146","04/05/2014 01:47:35 PM","04/05/2014 01:47:35 PM","T","IODI010493","Iodine","UG_P_100G","107","1","QC","","T","SRM","SRM","IODI01-14-0044","IRM001A"
"6183647","05/05/2014 08:15:01 AM","05/05/2014 08:15:01 AM","T","IODI010493","Iodine","UG_P_100G","120","1","QC","","T","SRM","SRM","IODI01-14-0045","IRM001A"
"6194532","07/05/2014 05:56:16 PM","07/05/2014 05:56:16 PM","T","IODI010493","Iodine","UG_P_100G","112","1","QC","","T","SRM","SRM","IODI01-14-0046","IRM001A"
"6194639","07/05/2014 07:02:17 PM","07/05/2014 07:02:17 PM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0047","IRM001A"
"6198731","08/05/2014 05:43:31 PM","08/05/2014 05:43:31 PM","T","IODI010493","Iodine","UG_P_100G","117","1","QC","","T","SRM","SRM","IODI01-14-0048","IRM001A"
"6206842","12/05/2014 01:21:25 PM","12/05/2014 01:21:25 PM","T","IODI010493","Iodine","UG_P_100G","121","1","QC","","T","SRM","SRM","IODI01-14-0049","IRM001A"
"6207356","12/05/2014 02:25:55 PM","12/05/2014 02:25:55 PM","T","IODI010493","Iodine","UG_P_100G","118","1","QC","","T","SRM","SRM","IODI01-14-0050","IRM001A"
"6221270","16/05/2014 09:16:26 AM","16/05/2014 09:16:26 AM","T","IODI010493","Iodine","","","1","QC","","T","SRM","SRM","IODI01-14-0052","IRM001A"
"6221279","16/05/2014 09:18:14 AM","16/05/2014 09:18:14 AM","T","IODI010493","Iodine","UG_P_100G","118","1","QC","","T","SRM","SRM","IODI01-14-0051","IRM001A"
"6227539","19/05/2014 07:44:01 AM","19/05/2014 07:44:01 AM","T","IODI010493","Iodine","UG_P_100G","123","1","QC","","T","SRM","SRM","IODI01-14-0053","IRM001A"
"6232447","20/05/2014 12:38:00 PM","20/05/2014 12:38:00 PM","T","IODI010493","Iodine","UG_P_100G","84","1","QC","","T","SRM","SRM","IODI01-14-0054","IRM001A"
"6236502","21/05/2014 12:45:23 PM","21/05/2014 12:45:23 PM","T","IODI010493","Iodine","UG_P_100G","123","1","QC","","T","SRM","SRM","IODI01-14-0055","IRM001A"
"6241098","22/05/2014 01:15:10 PM","22/05/2014 01:15:10 PM","T","IODI010493","Iodine","UG_P_100G","109","1","QC","","T","SRM","SRM","IODI01-14-0056","IRM001A"
"6250434","26/05/2014 10:26:57 AM","26/05/2014 10:26:57 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0057","IRM001A"
"6272113","02/06/2014 10:02:49 AM","02/06/2014 10:02:49 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0058","IRM001A"
"6294917","10/06/2014 01:15:04 PM","10/06/2014 01:15:04 PM","T","IODI010493","Iodine","UG_P_100G","125","1","QC","","T","SRM","SRM","IODI01-14-0060","IRM001A"
"6296559","10/06/2014 08:00:44 PM","10/06/2014 08:00:44 PM","T","IODI010493","Iodine","UG_P_100G","108","1","QC","","T","SRM","SRM","IODI01-14-0059","IRM001A"
"6302180","12/06/2014 10:30:04 AM","12/06/2014 10:30:04 AM","T","IODI010493","Iodine","UG_P_100G","124","1","QC","","T","SRM","SRM","IODI01-14-0061","IRM001A"
"6306655","13/06/2014 11:14:40 AM","13/06/2014 11:14:40 AM","T","IODI010493","Iodine","UG_P_100G","131","1","QC","","T","SRM","SRM","IODI01-14-0062","IRM001A"
"6313207","16/06/2014 01:15:31 PM","16/06/2014 01:15:31 PM","T","IODI010493","Iodine","UG_P_100G","112","1","QC","","T","SRM","SRM","IODI01-14-0063","IRM001A"
"6315775","17/06/2014 10:14:25 AM","17/06/2014 10:14:25 AM","T","IODI010493","Iodine","UG_P_100G","110","1","QC","","T","SRM","SRM","IODI01-14-0064","IRM001A"
