"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME","SAMPLING_POINT"
"6951129","31/12/2014 08:53:26 AM","31/12/2014 08:53:26 AM","T","IODI010493","Iodine","UG_P_100G","135","1","PDR_INFANT","MG80","T","MG3669","7222029","IODI01-15-0002","MG"
"6951167","31/12/2014 08:57:02 AM","31/12/2014 08:57:02 AM","T","IODI010493","Iodine","UG_P_100G","195","1","PDR_INFANT","MG80","T","MG3669","7222032","IODI01-15-0002","MG"
"6951181","31/12/2014 08:59:03 AM","31/12/2014 08:59:03 AM","T","IODI010493","Iodine","UG_P_100G","200","1","PDR_INFANT","MG80","F","MG3669","7222033","IODI01-15-0002","MG"
"6953644","01/01/2015 10:40:18 AM","01/01/2015 10:40:18 AM","T","IODI010493","Iodine","UG_P_100G","22","1","LIQ_MILK","621","T","TM9004","2014231123","IODI01-15-0002","TMI"
"6953645","01/01/2015 10:40:21 AM","01/01/2015 10:40:21 AM","T","IODI010493","Iodine","UG_P_100G","17","1","LIQ_MILK","621","T","TM9003","2014231124","IODI01-15-0002","TMI"
"6954106","01/01/2015 12:46:25 PM","01/01/2015 12:46:25 PM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_INFANT","MG80","T","MG3669","7223265","IODI01-15-0003","MG"
"6954116","01/01/2015 12:48:21 PM","01/01/2015 12:48:21 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7223266","IODI01-15-0003","MG"
"6954120","01/01/2015 12:50:13 PM","01/01/2015 12:50:13 PM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7223267","IODI01-15-0003","MG"
"6954204","01/01/2015 01:02:18 PM","01/01/2015 01:02:18 PM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","MG80","T","MG3669","7223390","IODI01-15-0003","MG"
"6954212","01/01/2015 01:04:11 PM","01/01/2015 01:04:11 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7223391","IODI01-15-0003","MG"
