"SAMPLE_NUMBER","LOGIN_DATE","LOGIN_DATE","REPORTABLE","ANALYSIS","REPORTED_NAME","REPORTED_UNITS","ENTRY","REPLICATE_COUNT","PRODUCT","CUSTOMER","IN_SPEC","PRODUCT_GRADE","SAMPLE_NAME","NAME"
"6951129","31/12/2014 08:53:26 AM","31/12/2014 08:53:26 AM","T","IODI010493","Iodine","UG_P_100G","135","1","PDR_INFANT","MG80","T","MG3669","7222029","IODI01-15-0002"
"6951167","31/12/2014 08:57:02 AM","31/12/2014 08:57:02 AM","T","IODI010493","Iodine","UG_P_100G","195","1","PDR_INFANT","MG80","T","MG3669","7222032","IODI01-15-0002"
"6951181","31/12/2014 08:59:03 AM","31/12/2014 08:59:03 AM","T","IODI010493","Iodine","UG_P_100G","200","1","PDR_INFANT","MG80","F","MG3669","7222033","IODI01-15-0002"
"6953644","01/01/2015 10:40:18 AM","01/01/2015 10:40:18 AM","T","IODI010493","Iodine","UG_P_100G","22","1","LIQ_MILK","621","T","TM9004","2014231123","IODI01-15-0002"
"6953645","01/01/2015 10:40:21 AM","01/01/2015 10:40:21 AM","T","IODI010493","Iodine","UG_P_100G","17","1","LIQ_MILK","621","T","TM9003","2014231124","IODI01-15-0002"
"6954106","01/01/2015 12:46:25 PM","01/01/2015 12:46:25 PM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_INFANT","MG80","T","MG3669","7223265","IODI01-15-0003"
"6954116","01/01/2015 12:48:21 PM","01/01/2015 12:48:21 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7223266","IODI01-15-0003"
"6954120","01/01/2015 12:50:13 PM","01/01/2015 12:50:13 PM","T","IODI010493","Iodine","UG_P_100G","175","1","PDR_INFANT","MG80","T","MG3669","7223267","IODI01-15-0003"
"6954204","01/01/2015 01:02:18 PM","01/01/2015 01:02:18 PM","T","IODI010493","Iodine","UG_P_100G","145","1","PDR_INFANT","MG80","T","MG3669","7223390","IODI01-15-0003"
"6954212","01/01/2015 01:04:11 PM","01/01/2015 01:04:11 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7223391","IODI01-15-0003"
"6954216","01/01/2015 01:06:04 PM","01/01/2015 01:06:04 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7223392","IODI01-15-0003"
"6954682","02/01/2015 06:12:05 AM","02/01/2015 06:12:05 AM","T","IODI010493","Iodine","UG_P_100G","102","1","QC","","T","SRM","SRM","IODI01-15-0001"
"6954684","02/01/2015 06:13:21 AM","02/01/2015 06:13:21 AM","T","IODI010493","Iodine","UG_P_100G","169","1","QC","","T","SRM","SRM","IODI01-15-0001"
"6954929","02/01/2015 07:52:37 AM","02/01/2015 07:52:37 AM","T","IODI010493","Iodine","UG_P_100G","130","1","QC","","T","SRM","SRM","IODI01-15-0002"
"6955944","02/01/2015 12:13:34 PM","02/01/2015 12:13:34 PM","T","IODI010493","Iodine","UG_P_100G","55","1","PDR_INFANT","MG80","T","MG3740","7224314","IODI01-15-0003"
"6956190","02/01/2015 01:14:13 PM","02/01/2015 01:14:13 PM","T","IODI010493","Iodine","UG_P_100G","206","1","QC","","T","SRM","SRM","IODI01-15-0002"
"6956774","02/01/2015 06:40:19 PM","02/01/2015 06:40:19 PM","T","IODI010493","Iodine","UG_P_100G","19","1","WHEY","621","T","TM9005","2014231097","IODI01-15-0003"
"6958020","03/01/2015 05:10:13 PM","03/01/2015 05:10:13 PM","T","IODI010493","Iodine","UG_P_100G","22","1","LIQ_MILK","621","T","TM9003","2014231094","IODI01-15-0003"
"6958021","03/01/2015 05:10:49 PM","03/01/2015 05:10:49 PM","T","IODI010493","Iodine","UG_P_100G","20","1","LIQ_MILK","621","T","TM9004","2014231096","IODI01-15-0003"
"6959772","05/01/2015 09:15:01 AM","05/01/2015 09:15:01 AM","T","IODI010493","Iodine","UG_P_100G","250","1","PDR_WPC","MG20","T","MG2412","7226432","IODI01-15-0004"
"6960291","05/01/2015 11:28:40 AM","05/01/2015 11:28:40 AM","T","IODI010493","Iodine","UG_P_100G","109","1","QC","","T","SRM","SRM","IODI01-15-0003"
"6960292","05/01/2015 11:29:29 AM","05/01/2015 11:29:29 AM","T","IODI010493","Iodine","UG_P_100G","181","1","QC","","T","SRM","SRM","IODI01-15-0003"
"6961110","05/01/2015 12:00:00 AM","05/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","115","1","PDR_INFANT","621","T","TM448310","2015003868","IODI01-15-0004"
"6961511","05/01/2015 05:15:10 PM","05/01/2015 05:15:10 PM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7227091","IODI01-15-0004"
"6961515","05/01/2015 05:17:06 PM","05/01/2015 05:17:06 PM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7227092","IODI01-15-0004"
"6961520","05/01/2015 05:19:02 PM","05/01/2015 05:19:02 PM","T","IODI010493","Iodine","UG_P_100G","165","1","PDR_INFANT","MG80","T","MG3669","7227093","IODI01-15-0004"
"6961619","05/01/2015 12:00:00 AM","05/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","110","1","PDR_INFANT","621","T","TM448311","2015004059","IODI01-15-0004"
"6962333","06/01/2015 08:40:26 AM","06/01/2015 08:40:26 AM","T","IODI010493","Iodine","UG_P_100G","270","1","PDR_WPC","MG20","T","MG2412","7227340","IODI01-15-0004"
"6962582","06/01/2015 09:12:42 AM","06/01/2015 09:12:42 AM","T","IODI010493","Iodine","UG_P_100G","160","1","PDR_INFANT","MG80","T","MG3669","7227520","IODI01-15-0004"
"6962593","06/01/2015 09:14:41 AM","06/01/2015 09:14:41 AM","T","IODI010493","Iodine","UG_P_100G","155","1","PDR_INFANT","MG80","T","MG3669","7227521","IODI01-15-0004"
"6962599","06/01/2015 09:16:36 AM","06/01/2015 09:16:36 AM","T","IODI010493","Iodine","UG_P_100G","150","1","PDR_INFANT","MG80","T","MG3669","7227522","IODI01-15-0004"
"6962952","06/01/2015 12:00:00 AM","06/01/2015 12:00:00 AM","T","IODI010493","Iodine","UG_P_100G","105","1","PDR_INFANT","621","T","TM448312","2015004121","IODI01-15-0004"
